ID,MW_Host,TPSA_Host,LogP_Host,HBD_Host,HBA_Host,RotBonds_Host,Lattice_Density_Score,Target_Class
1,318.58,113.78,0.52,4,7,6,0.88,1
2,531.76,94.33,2.48,2,5,7,0.66,1
3,450.84,67.14,4.3,2,1,1,0.87,1
4,401.5,127.66,3.53,4,5,1,0.69,1
5,237.73,112.17,3.94,1,5,8,0.68,1
6,237.72,49.51,3.12,1,2,2,0.37,0
7,201.49,139.31,3.31,2,2,10,0.41,1
8,500.49,128.7,4.17,1,5,11,0.96,1
9,402.41,143.98,0.87,4,5,9,0.46,1
10,441.99,117.09,2.19,1,5,7,0.96,1
11,187.62,103.61,0.72,2,2,6,0.66,1
12,538.87,80.19,4.93,4,5,1,0.39,0
13,488.0,141.93,4.69,1,5,1,0.37,0
14,258.57,133.93,-0.28,3,4,2,0.44,1
15,247.28,35.43,3.38,4,1,6,0.93,1
16,247.86,33.16,4.59,4,3,6,0.58,0
17,292.57,75.18,0.49,3,1,2,0.57,1
18,374.16,127.27,2.62,3,4,1,0.51,1
19,339.82,148.47,4.54,4,3,10,0.4,0
20,287.75,48.05,-0.31,3,7,5,0.63,1
21,406.39,101.3,3.34,2,5,5,0.39,0
22,231.61,75.71,1.14,2,4,2,0.87,1
23,288.09,146.39,4.58,2,7,6,0.55,1
24,315.55,131.05,4.84,4,5,9,0.55,1
25,348.75,130.6,4.69,3,2,2,0.62,1
26,470.52,86.24,2.11,3,6,10,0.6,1
27,253.88,79.78,4.24,1,4,2,0.98,1
28,370.27,62.81,4.15,1,2,3,0.67,1
29,399.19,36.77,1.26,3,4,7,0.36,0
30,197.19,133.77,4.06,3,4,6,0.71,1
31,404.79,127.55,-0.3,3,2,8,0.4,1
32,243.09,149.97,2.78,4,3,8,0.32,1
33,204.07,149.6,0.77,3,1,6,0.96,1
34,531.09,96.65,0.16,1,5,11,0.83,1
35,537.28,122.28,-0.08,4,4,10,0.97,1
36,479.11,143.37,3.33,3,5,3,0.62,1
37,292.71,131.96,1.37,1,6,3,0.66,1
38,216.14,59.68,3.49,4,2,1,0.41,0
39,433.17,84.07,-0.14,3,5,7,0.47,1
40,342.86,45.5,1.23,3,2,5,0.87,1
41,225.15,144.49,2.47,3,5,4,0.54,1
42,363.22,102.74,3.85,4,1,10,0.86,1
43,192.72,57.44,1.25,1,1,4,0.78,1
